[2025-07-04 13:40:54,317] INFO] Starting fetch for api....]
[2025-07-04 13:40:55,981] INFO] Fetching the Page 1 -> 200 -> https://newsapi.org/v2/everything?q=bitcoin&page_size=10&page=1&apiKey=12beb7f0d27c43fb92fce18598b2e7f1 ]
[2025-07-04 13:40:55,982] INFO] Page 1 : Retrived 100 articles.]
[2025-07-04 13:40:58,262] INFO] Fetching the Page 2 -> 200 -> https://newsapi.org/v2/everything?q=bitcoin&page_size=10&page=2&apiKey=12beb7f0d27c43fb92fce18598b2e7f1 ]
[2025-07-04 13:40:58,265] INFO] Page 2 : Retrived 100 articles.]
[2025-07-04 13:41:00,438] INFO] Fetching the Page 3 -> 200 -> https://newsapi.org/v2/everything?q=bitcoin&page_size=10&page=3&apiKey=12beb7f0d27c43fb92fce18598b2e7f1 ]
[2025-07-04 13:41:00,441] INFO] Page 3 : Retrived 99 articles.]
[2025-07-04 13:41:00,441] INFO] Total Fetched Articles are 299]
[2025-07-04 13:41:00,442] INFO] Saved article to queue\16779840-5cce-46d8-86a1-7aa9df442ee2.json]
[2025-07-04 13:41:00,446] INFO] Saved article to queue\2161cf84-a474-44da-bab2-63e3afea2458.json]
[2025-07-04 13:41:00,447] INFO] Saved article to queue\026564e5-820f-4ecf-9efa-492f5333c889.json]
[2025-07-04 13:41:00,448] INFO] Saved article to queue\fa68544d-b666-4bd0-8cd0-dca79f5083a6.json]
[2025-07-04 13:41:00,448] INFO] Saved article to queue\181f804b-b1cb-4f0d-ad84-3ed20e44ec28.json]
[2025-07-04 13:41:00,449] INFO] Saved article to queue\ba3f7e0b-c8f9-48ee-854b-e9decc23c45d.json]
[2025-07-04 13:41:00,449] INFO] Saved article to queue\fec0c1f7-d62b-4b40-97c0-072383416559.json]
[2025-07-04 13:41:00,450] INFO] Saved article to queue\32b65293-596d-44df-92d8-522479baf236.json]
[2025-07-04 13:41:00,451] INFO] Saved article to queue\7a85f087-7108-4a0a-b782-51ce71f99f4b.json]
[2025-07-04 13:41:00,451] INFO] Saved article to queue\44886757-f9d2-4e64-8e56-4628718e2894.json]
[2025-07-04 13:41:00,452] INFO] Saved article to queue\8043336a-f250-49be-a26b-f8dd182c7feb.json]
[2025-07-04 13:41:00,452] INFO] Saved article to queue\c490ccb5-dc50-4ce6-838e-db5109728854.json]
[2025-07-04 13:41:00,453] INFO] Saved article to queue\466ccf21-0993-4c55-9fa7-b000b0186136.json]
[2025-07-04 13:41:00,453] INFO] Saved article to queue\1a11f6fb-fd8d-4a00-a704-e71b43b4a830.json]
[2025-07-04 13:41:00,454] INFO] Saved article to queue\3e0310c2-cde7-4cd4-9f36-537c92230742.json]
[2025-07-04 13:41:00,455] INFO] Saved article to queue\72bbc564-c0bb-4635-9bf4-2b2fc998cabf.json]
[2025-07-04 13:41:00,455] INFO] Saved article to queue\2308fbd2-a376-4415-9f68-d270aa28b053.json]
[2025-07-04 13:41:00,456] INFO] Saved article to queue\0edaaa79-a36c-411c-aa9f-12202fb8186c.json]
[2025-07-04 13:41:00,456] INFO] Saved article to queue\244976ca-8fb7-4c97-86cd-ddc8ed98e923.json]
[2025-07-04 13:41:00,457] INFO] Saved article to queue\7f515e3f-cbc9-405b-a95b-0c568de56f1c.json]
[2025-07-04 13:41:00,458] INFO] Saved article to queue\e3978c08-70d5-49ac-bf02-f50180957a31.json]
[2025-07-04 13:41:00,458] INFO] Saved article to queue\6bf86fbd-7ae7-41db-aa70-b4a41bc27aa5.json]
[2025-07-04 13:41:00,459] INFO] Saved article to queue\4f0bfaaa-6244-4749-aa5f-d80d3d03d1b7.json]
[2025-07-04 13:41:00,459] INFO] Saved article to queue\ac0449b2-aa57-4658-b499-8b7efef725cb.json]
[2025-07-04 13:41:00,460] INFO] Saved article to queue\9210e789-7ec8-4216-833a-e7b85e4ed38e.json]
[2025-07-04 13:41:00,461] INFO] Saved article to queue\c3118b70-36b2-430a-a8fa-9d8bb76455c8.json]
[2025-07-04 13:41:00,461] INFO] Saved article to queue\e4c23883-a0dc-481f-996b-8015c667753e.json]
[2025-07-04 13:41:00,462] INFO] Saved article to queue\a0e19b0e-939d-4052-adf6-65679ee9a82d.json]
[2025-07-04 13:41:00,462] INFO] Saved article to queue\265a2e02-ae01-425a-bc6e-daffa61c12ff.json]
[2025-07-04 13:41:00,463] INFO] Saved article to queue\9c786512-4f8a-4c91-908a-8953b2de8535.json]
[2025-07-04 13:41:00,464] INFO] Saved article to queue\d2aa1359-db81-4e7e-b060-8305e939eaa1.json]
[2025-07-04 13:41:00,465] INFO] Saved article to queue\9f39f009-5b72-4904-9048-b52bd8682175.json]
[2025-07-04 13:41:00,465] INFO] Saved article to queue\83812e48-da8f-4960-879c-7d1035094d94.json]
[2025-07-04 13:41:00,466] INFO] Saved article to queue\3f6670bd-e820-49af-9d88-31e1e3193cf6.json]
