[2025-07-02 12:06:23,759] INFO] Starting fetch for api....]
[2025-07-02 12:06:25,812] INFO] Fetching the Page 1 -> 200 -> https://newsapi.org/v2/everything?q=bitcoin&page_size=10&page=1&apiKey=12beb7f0d27c43fb92fce18598b2e7f1 ]
[2025-07-02 12:06:25,813] INFO] Page 1 : Retrived 100 articles.]
[2025-07-02 12:06:26,841] INFO] Fetching the Page 2 -> 200 -> https://newsapi.org/v2/everything?q=bitcoin&page_size=10&page=2&apiKey=12beb7f0d27c43fb92fce18598b2e7f1 ]
[2025-07-02 12:06:26,842] INFO] Page 2 : Retrived 100 articles.]
[2025-07-02 12:06:28,271] INFO] Fetching the Page 3 -> 200 -> https://newsapi.org/v2/everything?q=bitcoin&page_size=10&page=3&apiKey=12beb7f0d27c43fb92fce18598b2e7f1 ]
[2025-07-02 12:06:28,273] INFO] Page 3 : Retrived 99 articles.]
[2025-07-02 12:06:28,273] INFO] Total Fetched Articles are 299]
[2025-07-02 12:06:28,279] INFO] Saved article to queue\7f341492-d3fd-4fbd-b839-8e299a33680f.json]
[2025-07-02 12:06:28,281] INFO] Saved article to queue\50127fd6-e492-4c53-a06c-6da962dc3cd3.json]
[2025-07-02 12:06:28,282] INFO] Saved article to queue\bc3b6bc1-a13f-4456-99ca-f3e34a0949a1.json]
[2025-07-02 12:06:28,284] INFO] Saved article to queue\4365b536-1359-41b7-aea2-4de2ba77cfcc.json]
[2025-07-02 12:06:28,285] INFO] Saved article to queue\fbb7a2e6-ecd0-4853-abfe-dca069f286a0.json]
[2025-07-02 12:06:28,286] INFO] Saved article to queue\f285d24d-e9fd-4837-af10-acfd157e9905.json]
[2025-07-02 12:06:28,287] INFO] Saved article to queue\bc661fc9-84be-41d7-a0fa-5e5b6d671e49.json]
[2025-07-02 12:06:28,289] INFO] Saved article to queue\efaf450c-a51d-44ce-83bf-bf0e6ce4c777.json]
[2025-07-02 12:06:28,291] INFO] Saved article to queue\5140a21c-f3ab-46b6-9620-e9ea774922b0.json]
[2025-07-02 12:06:28,292] INFO] Saved article to queue\a232c05f-3a7f-44db-8ca2-2338ce57a650.json]
[2025-07-02 12:06:28,293] INFO] Saved article to queue\098bfb7d-bc19-4fc3-8cf9-f510edd4e96f.json]
[2025-07-02 12:06:28,295] INFO] Saved article to queue\19cf1aec-b9ee-46eb-8d8c-9d0b940fdf00.json]
[2025-07-02 12:06:28,297] INFO] Saved article to queue\0390280c-11c8-43dc-8751-d498f1881633.json]
[2025-07-02 12:06:28,298] INFO] Saved article to queue\cfce9c2d-7e8e-4dad-a596-1c96ee1aa560.json]
[2025-07-02 12:06:28,300] INFO] Saved article to queue\1aa11839-ee61-4041-97d3-421362068f35.json]
[2025-07-02 12:06:28,301] INFO] Saved article to queue\047b8a92-480e-4bea-8b3e-4983f5689416.json]
[2025-07-02 12:06:28,303] INFO] Saved article to queue\4bec9f9b-ad7a-4548-baa0-4977e867dd0f.json]
[2025-07-02 12:06:28,305] INFO] Saved article to queue\e9fe1af4-1b27-4bc0-807a-d3e414ca77a9.json]
[2025-07-02 12:06:28,308] INFO] Saved article to queue\c3c67595-66e1-4b09-9317-eb48a675dcbc.json]
[2025-07-02 12:06:28,309] INFO] Saved article to queue\d90287e4-caca-4736-82d2-60c0005b0fea.json]
[2025-07-02 12:06:28,311] INFO] Saved article to queue\b74d3a76-cb27-4c58-a7ac-fc0beb8abfba.json]
[2025-07-02 12:06:28,312] INFO] Saved article to queue\7ca8ae4b-a049-4848-9990-3f8a739c8b02.json]
[2025-07-02 12:06:28,313] INFO] Saved article to queue\bab1f7d6-1e04-44ea-92a6-53b863e7454c.json]
[2025-07-02 12:06:28,314] INFO] Saved article to queue\a47c174c-07bb-4822-88c7-cb9cccb318c9.json]
[2025-07-02 12:06:28,316] INFO] Saved article to queue\74bc4f07-d936-415b-9119-eea2b3150379.json]
[2025-07-02 12:06:28,317] INFO] Saved article to queue\ce0c6e6d-68b8-49d7-a816-a58ba8b4515e.json]
[2025-07-02 12:06:28,318] INFO] Saved article to queue\2fc1d492-da5d-483e-ac18-eb6099171ab8.json]
[2025-07-02 12:06:28,320] INFO] Saved article to queue\92988763-8b26-432e-83b6-a74f66609b7f.json]
[2025-07-02 12:06:28,322] INFO] Saved article to queue\0f01866f-e290-4d0b-aeb2-5bb490ffadc2.json]
[2025-07-02 12:06:28,323] INFO] Saved article to queue\88529657-3569-40ca-bcf0-fdb08f666141.json]
[2025-07-02 12:06:28,324] INFO] Saved article to queue\0554e0b4-40f3-4342-ab38-e1e80cd97a05.json]
[2025-07-02 12:06:28,325] INFO] Saved article to queue\7f8268a5-6549-475f-a23d-2658748ec2b0.json]
[2025-07-02 12:06:28,325] INFO] Saved article to queue\4dafbb1a-bc5c-4d20-85f8-cbd066b08ca1.json]
[2025-07-02 12:06:28,326] INFO] Saved article to queue\fee56ca0-ada7-4c82-9e8f-7cb02590a16c.json]
[2025-07-02 12:06:28,327] INFO] Saved article to queue\a30bcc68-7cac-4f3c-a553-c74ef867c2cf.json]
[2025-07-02 12:06:28,328] INFO] Saved article to queue\69a3f0b8-b955-4364-a2da-5b1e401a897b.json]
[2025-07-02 12:06:28,328] INFO] Saved article to queue\d0a6a418-782b-4445-9389-59b40a9982b1.json]
[2025-07-02 12:06:28,329] INFO] Saved article to queue\ee8f94e2-51cb-45b0-8d45-de27a2b3e5e3.json]
[2025-07-02 12:06:28,330] INFO] Saved article to queue\6da77ef5-7613-4393-bf94-3fa9d9f5b2c9.json]
[2025-07-02 12:06:28,330] INFO] Saved article to queue\7aec7c83-19e4-450a-9a7b-52411dc1b9e2.json]
[2025-07-02 12:06:28,331] INFO] Saved article to queue\514b81cd-0939-407c-89dc-6dbbf2ddccef.json]
[2025-07-02 12:06:28,332] INFO] Saved article to queue\320e460d-a494-47db-8353-9d2b9c24ffa9.json]
[2025-07-02 12:06:28,333] INFO] Saved article to queue\7dc5da4c-8b00-42b1-a0db-46659dd59749.json]
[2025-07-02 12:06:28,334] INFO] Saved article to queue\5545ebcc-2537-4ec5-99c7-8ad83641f9ef.json]
[2025-07-02 12:06:28,335] INFO] Saved article to queue\cbc1aaac-def5-440a-b3a2-7aa657abf938.json]
[2025-07-02 12:06:28,335] INFO] Saved article to queue\4e410f5d-7ce6-4568-9f8e-dc7fe6741a9f.json]
[2025-07-02 12:06:28,336] INFO] Saved article to queue\d21258e8-97ed-40e1-8752-020332570abd.json]
[2025-07-02 12:06:28,337] INFO] Saved article to queue\f286e070-244a-4b12-8f4f-6ddef5cfb732.json]
[2025-07-02 12:06:28,337] INFO] Saved article to queue\0bc086a5-91fc-435c-972c-0b0faecde481.json]
[2025-07-02 12:06:28,338] INFO] Saved article to queue\4f2571e7-a408-4ae8-80b4-6b8be33db892.json]
[2025-07-02 12:06:28,339] INFO] Saved article to queue\e25a80e8-cebd-4929-b101-7f027bfd75bf.json]
[2025-07-02 12:06:28,339] INFO] Saved article to queue\30eb7005-c6fe-4fc2-b2de-5e44c64abcc7.json]
[2025-07-02 12:06:28,340] INFO] Saved article to queue\19470e88-21ec-46f7-a6d7-5dd74a96468d.json]
[2025-07-02 12:06:28,341] INFO] Saved article to queue\d84eb53c-dc20-4d47-acaa-ab3352215175.json]
[2025-07-02 12:06:28,341] INFO] Saved article to queue\48143da6-90cc-48ba-b5a8-5842c9d1d44a.json]
[2025-07-02 12:06:28,342] INFO] Saved article to queue\6e234dab-4c98-4cb7-ba35-cf7d4d2b3624.json]
[2025-07-02 12:06:28,343] INFO] Saved article to queue\2b5a327d-eed1-449c-ae8b-25defb22bb8e.json]
[2025-07-02 12:06:28,344] INFO] Saved article to queue\124bf3f4-26ee-4bd1-8e0a-9e6a646ca642.json]
[2025-07-02 12:06:28,345] INFO] Saved article to queue\a548839c-e5c1-4790-858b-5988ee99170c.json]
[2025-07-02 12:06:28,346] INFO] Saved article to queue\5faf8f74-ad55-4ff3-9e05-b060418fb52a.json]
[2025-07-02 12:06:28,346] INFO] Saved article to queue\a64761bb-3317-4f71-8035-c7fcaaad9ca3.json]
[2025-07-02 12:06:28,347] INFO] Saved article to queue\ed618f1e-6d6d-4987-9d50-6c30984b3e96.json]
